"Sr. No.","State Name","Hon'ble Member Of Parliament","Constituency","Allocated Amount ( ₹ )"
"1","Maharashtra","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","14,12,89,442"
"2","Jammu And Kashmir","ABDUL RASHID SHEIKH","BARAMULLAH","9,80,00,000"
"3","Bihar","ABHAY KUMAR SINHA","AURANGABAD_BR","9,80,00,000"
"4","West Bengal","ABHIJIT GANGOPADHYAY","TAMLUK","9,80,00,000"
"5","West Bengal","Abu Taher Khan","MURSHIDABAD","9,80,00,000"
"6","West Bengal","ADHIKARI SOUMENDU","KANTHI","9,80,00,000"
"7","Uttar Pradesh","ADITYA YADAV","BADAUN","9,80,00,000"
"8","Kerala","Adv Adoor Prakash","ATTINGAL","9,80,00,000"
"9","Kerala","Adv Dean Kuriakose","IDUKKI","9,80,00,000"
"10","Maharashtra","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","9,88,16,309.11"
"11","Kerala","ADV K FRANCIS GEORGE","KOTTAYAM","13,97,22,256.11"
"12","Uttar Pradesh","AFZAL ANSARI","GHAZIPUR","17,15,00,000"
"13","Jammu And Kashmir","AGA SYED RUHULLAH MEHDI","SRINAGAR","9,80,00,000"
"14","Uttarakhand","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","9,80,00,000"
"15","Bihar","Ajay Kumar Mandal","BHAGALPUR","9,80,00,000"
"16","Uttarakhand","Ajay Tamta","ALMORA(SC)","9,80,00,000"
"17","Uttar Pradesh","AJENDRA SINGH LODHI","HAMIRPUR_UP","9,80,00,000"
"18","Uttar Pradesh","AKHILESH YADAV","KANNAUJ","9,80,00,000"
"19","Uttar Pradesh","AKSHAYA YADAV","FIROZABAD","9,80,00,000"
"20","Manipur","ALFRED KANNGAM S ARTHUR","OUTER MANIPUR(ST)","9,80,00,000"
"21","Bihar","Alok Kumar Suman","GOPALGANJ (SC)","9,80,00,000"
"22","Madhya Pradesh","ALOK SHARMA","BHOPAL","9,80,00,000"
"23","Maharashtra","AMAR SHARADRAO KALE","WARDHA","9,80,00,000"
"24","Assam","AMARSING TISSO","Diphu (ST)","9,80,00,000"
"25","Andhra Pradesh","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","9,80,00,000"
"26","Maharashtra","Amol Ramsing Kolhe","SHIRUR","9,80,00,000"
"27","Rajasthan","AMRARAM","SIKAR","9,80,00,000"
"28","Punjab","AMRINDER SINGH RAJA WARRING","LUDHIANA","9,80,00,000"
"29","Uttar Pradesh","ANAND BHADAURIYA","DHAURAHRA","9,80,00,000"
"30","Uttar Pradesh","ANAND KUMAR","BAHRAICH(SC)","9,80,00,000"
"31","Odisha","ANANTA NAYAK","KEONJHAR(ST)","9,80,00,000"
"32","Tamil Nadu","Andimuthu Raja","NILGIRIS(SC)","9,80,00,000"
"33","Meghalaya","ANDREW J. SYNGKON","SHILLONG","9,80,00,000"
"34","Manipur","ANGOMCHA BIMOL AKOIJAM","INNER MANIPUR","9,80,00,000"
"35","Uttarakhand","ANIL BALUNI","GARHWAL","9,80,00,000"
"36","Maharashtra","ANIL YESHWANT DESAI","MUMBAI SOUTH CENTRAL","9,80,00,000"
"37","Madhya Pradesh","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","9,80,00,000"
"38","Odisha","ANITA SUBHADARSHINI","ASKA","9,80,00,000"
"39","Jharkhand","Annpurna Devi","KODARMA","9,80,00,000"
"40","Uttar Pradesh","ANOOP PRADHAN BALMIKI","HATHRAS (SC)","9,80,00,000"
"41","Kerala","Anto Antony","PATHANAMTHITTA","9,80,00,000"
"42","Maharashtra","ANUP SANJAY DHOTRE","AKOLA","9,80,00,000"
"43","Uttar Pradesh","Anurag Sharma","JHANSI","9,80,00,000"
"44","Himachal Pradesh","Anurag Singh Thakur","HAMIRPUR_HP","10,05,70,117.11"
"45","Andhra Pradesh","Appalanaidu Kalisetti","VIZIANAGARAM","9,80,00,000"
"46","Bihar","ARUN BHARTI","JAMUI(SC)","13,65,84,037.11"
"47","Uttar Pradesh","ARUN GOVIL","MEERUT","9,80,00,000"
"48","Tamil Nadu","ARUN NEHRU","PERAMBALUR","9,80,00,000"
"49","Telangana","ARUNA. D. K","MAHABUBNAGAR","9,80,00,000"
"50","West Bengal","ARUP CHAKRABORTY","BANKURA","9,80,00,000"
"51","Telangana","Arvind Dharmapuri","NIZAMABAD","23,23,96,355.11"
"52","Maharashtra","Arvind Ganpat Sawant","MUMBAI SOUTH","9,80,00,000"
"53","Telangana","Asaduddin Owaisi","HYDERABAD","9,80,00,000"
"54","Madhya Pradesh","ASHISH DUBEY","JABALPUR","9,80,00,000"
"55","Uttar Pradesh","Ashok Kumar Rawat","MISRIKH(SC)","9,80,00,000"
"56","Bihar","Ashok Kumar Yadav","MADHUBANI","9,80,00,000"
"57","West Bengal","Asit Kumar Mal","BOLPUR(SC)","22,66,94,456.74"
"58","Uttar Pradesh","ATUL GARG","GHAZIABAD","10,63,36,470"
"59","Odisha","AVIMANYU SETHI","BHADRAK(SC)","9,80,00,000"
"60","Uttar Pradesh","AWADHESH PRASAD","FAIZABAD","9,80,00,000"
"61","West Bengal","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","13,06,58,399.98"
"62","Andhra Pradesh","B K PARTHASARATHI","HINDUPUR","10,78,69,468.11"
"63","Uttar Pradesh","BABU SINGH KUSHWAHA","JAUNPUR","9,80,00,000"
"64","Maharashtra","BACHHAV SHOBHA DINESH","DHULE","9,80,00,000"
"65","West Bengal","BAG MITALI","ARAMBAG(SC)","9,80,00,000"
"66","Odisha","BAIJAYANT PANDA","KENDRAPARA","9,80,00,000"
"67","Maharashtra","BAJRANG MANOHAR SONWANE","BEED","10,03,25,047.19"
"68","Odisha","BALABHADRA MAJHI","NABARANGPUR(ST)","9,84,13,962.11"
"69","Andhra Pradesh","Balashowry Vallabbhaneni","MACHILIPATNAM","9,80,00,000"
"70","Telangana","BALRAM NAIK PORIKA","MAHABUBABAD","9,80,00,000"
"71","Maharashtra","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","14,92,93,678"
"72","Maharashtra","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","9,80,00,000"
"73","Delhi","Bansuri Swaraj","NEW DELHI","10,53,06,950"
