"Sr. No.","State","Work","Vendor Name","IDA","Hon'ble Member Of Parliament","Expenditure Date","Constituency","Work Status","Work Id","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","23-Apr-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135904","6,42,457"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","11-Sep-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135904","2,18,870"
"3","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","23-Apr-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135907","6,42,457"
"4","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","11-Sep-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135907","2,13,609"
"5","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","23-Apr-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135918","5,77,622"
"6","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","11-Sep-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135918","1,90,835"
"7","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","23-Apr-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135903","6,71,927"
"8","Madhya Pradesh","Purchase Books for Library","ESSKAY ENTERPRISES DELHI","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","18-Jul-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/135908","1,00,000"
"9","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/135996","3,11,640"
"10","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","16-May-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/135996","53,948"
"11","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136004","3,11,640"
"12","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-May-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/136004","53,948"
"13","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136008","3,11,640"
"14","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-May-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/136008","53,948"
"15","Madhya Pradesh","Purchase of mobile water tankers","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136017","1,33,383"
"16","West Bengal","Construction of footpaths and pedestrian ways","NORDEN LEPCHA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","10-Nov-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135526","2,90,291"
"17","West Bengal","Construction of footpaths and pedestrian ways","DHAN KUMAR LAMA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","29-Jul-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135535","4,93,330"
"18","West Bengal","Construction of community centers and community halls","NORBU DHENDUP BHUTIA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","31-Dec-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135553","4,72,866"
"19","Assam","Construction of community centers and community halls","James Phangcho","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","18-Jun-2025","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137588","7,68,084"
"20","West Bengal","Construction of footpaths and pedestrian ways","ABHINAY BHURTEL","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","11-Dec-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135708","4,82,145"
"21","West Bengal","Construction of boundary walls of existing public and community buildings","DILIP CHHETRI ACHARYA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","20-Jun-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135549","4,59,397"
"22","West Bengal","Development of playground","EDWIN LEPCHA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","15-May-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135555","4,88,498"
"23","Assam","Tree plantation for community","Longsing Engti","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","11-Nov-2024","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137589","2,54,066"
"24","Assam","Construction of community centers and community halls","Sarmindar Terang","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","18-Jun-2025","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137588","3,04,341"
"25","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","09-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137152","14,84,088"
"26","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","26-Apr-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137152","4,93,971"
"27","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","TANYA CONSTRUCTION","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","11-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137211","7,14,064"
"28","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","TANYA CONSTRUCTION","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","15-Dec-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137211","2,37,604"
