"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"1","Normal/Others","WS/MP485/2024-2025/134332-Construction of community centers and community halls","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Construction of Community Hall at Mithakhali under Matla-II GP","Pratima Mondal","JOYNAGAR(SC)","25-Jul-2025","Images","N/A","19,98,845"
"2","Normal/Others","WS/MP681/2024-2025/134797-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of Sabhamandap at Simangaon Tal. Sailu Dist. Parbhani","Sanjay Haribhau Jadhav","PARBHANI","03-Aug-2025","Images","N/A","9,97,623"
"3","Normal/Others","WS/MP681/2024-2025/134798-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of Sabhamandap at Kawaddhan Tal. Sailu Dist. Parbhani (under SC fund)","Sanjay Haribhau Jadhav","PARBHANI","16-Jul-2025","Images","N/A","9,98,788"
"4","Normal/Others","WS/MP681/2024-2025/134800-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of Sabhamandap at Nirwadi Khurd Tal. Sailu Dist. Parbhani","Sanjay Haribhau Jadhav","PARBHANI","03-Aug-2025","Images","N/A","9,99,753"
"5","Normal/Others","WS/MP681/2024-2025/134801-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of Sabhamandap at at Chicholi Kale Tal.Jintur Dist. Parbhani","Sanjay Haribhau Jadhav","PARBHANI","16-Jul-2025","Images","N/A","9,99,978"
"6","Normal/Others","WS/MP681/2024-2025/134802-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of Sabhamandap at Wassa Tal. Jintur Dist. Parbhani (under SC fund)","Sanjay Haribhau Jadhav","PARBHANI","03-Aug-2025","Images","N/A","14,93,920"
"7","Normal/Others","WS/MP681/2024-2025/134803-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of Sabhamandap at Itoli  Tal. Jintur Dist. Parbhani (under SC fund)","Sanjay Haribhau Jadhav","PARBHANI","16-Jul-2025","Images","N/A","9,99,904"
"8","Normal/Others","WS/MP681/2024-2025/134804-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of Sabhamandap at Sakhartala Tal. Jintur  Dist. Parbhani (under ST fund)","Sanjay Haribhau Jadhav","PARBHANI","16-Jul-2025","Images","N/A","9,99,896"
"9","Normal/Others","WS/MP858/2024-2025/135207-Construction of community centers and community halls","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Construction of Community hall at jhilu Astana para,Excuting Agency will be EO Mongalkote Panchyet Samity","Asit Kumar Mal","BOLPUR(SC)","16-Jul-2025","Images","N/A","4,06,558"
"10","Normal/Others","WS/MP826/2024-2025/135520-Construction of community centers and community halls","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Construction of Community Center at Ward No 2, Gangatia Terso Line, 18 Golai, CCNS Samaj  Ref: Diki Subba (7583995164), Panchayat Member, Chongtong GP","Raju Bista","DARJEELING","16-Jul-2025","Images","N/A","4,98,069"
"11","Repair and Renovation","WS/MP826/2024-2025/135553-Construction of community centers and community halls","West Bengal","KALIMPONG(District Magistrate Kalimpong_IDA)","Repair and renovation of COmmunity center at Upper Bidyang for Jan Kalyan Sangh  Ref: Divya Gurung (7602057196), Member, Dalapchan GP","Raju Bista","DARJEELING","11-Feb-2026","Images","N/A","4,72,866"
"12","Normal/Others","WS/MP826/2024-2025/135558-Construction of community centers and community halls","West Bengal","KALIMPONG(District Magistrate Kalimpong_IDA)","Construction of community center at Lower Burmek, Ramdhura, Sansad IX, Sangsay GP  Ref: Arun Khaling Rai (9933803187), Member, Sangsay GP","Raju Bista","DARJEELING","18-Apr-2025","Images","N/A","4,60,275"
"13","Normal/Others","WS/MP747/2024-2025/135704-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Construction of Community Hall in Valayapatti Village and panchayat. Thirupparankundram Panchayat Union.","Manickam Tagore B","VIRUDHUNAGAR","01-Aug-2025","Images","N/A","24,95,751"
"14","Normal/Others","WS/MP18065/2024-2025/135792-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Const. of Room near Shiv Mandir","DEEPENDER SINGH HOODA","ROHTAK","25-Feb-2026","Images","N/A","4,62,258"
"15","Normal/Others","WS/MP18065/2024-2025/135795-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Const./Comp. of Dharamshala near Ravidas Mandir","DEEPENDER SINGH HOODA","ROHTAK","13-Jan-2026","Images","N/A","6,98,917"
"16","Normal/Others","WS/MP18065/2024-2025/135796-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Development Works in Balmiki Choupal","DEEPENDER SINGH HOODA","ROHTAK","13-Jan-2026","N/A","N/A","4,76,498"
